Latitude,Longitude,Stop Name,Stop Status
40.691279,-73.952183,DE KALB AV/NOSTRAND AV,at stop
40.693646,-73.931608,DE KALB AV/MALCOLM X BL,at stop
40.701525,-73.903065,ONDERDONK AV/CATALPA AV,at stop
40.699517,-73.923942,DE KALB AV/WILSON AV,at stop
40.695944,-73.927444,DE KALB AV/EVERGREEN AV,at stop
40.705742,-73.912648,SENECA AV/HARMAN ST,at stop
40.695983,-73.991034,CADMAN PLZ W/TILLARY ST,at stop
40.695963,-73.991028,CADMAN PLZ W/TILLARY ST,at stop
40.68946,-73.968905,DE KALB AV/VANDERBILT AV,approaching
40.704109,-73.919425,DE KALB AV/WYCKOFF AV,approaching
40.689393,-73.955556,LAFAYETTE AV/BEDFORD AV,approaching
40.689443,-73.968188,DE KALB AV/VANDERBILT AV,approaching
40.692312,-73.989091,FULTON ST/SMITH ST,< 1 stop away
40.689725,-73.983024,FULTON ST/DUFFIELD ST,< 1 stop away
40.687961,-73.967969,LAFAYETTE AV/WASHINGTON AV,< 1 stop away
40.699724,-73.923737,DE KALB AV/KNICKERBOCKER AV,< 1 stop away
40.69616,-73.990248,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
